COUNTY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Baker County, Oregon","16,714","16,618","16,376","16,312","16,272","16,086","16,094","16,139","16,195","16,225","16,109","16,061","15,993","16,016","16,015","15,882","15,971","16,083","16,034","16,124"
".Benton County, Oregon","78,236","78,491","80,203","80,322","80,149","80,943","81,957","83,718","84,150","85,390","85,574","86,266","86,678","86,167","87,215","88,333","89,918","91,790","92,442","93,053"
".Clackamas County, Oregon","339,223","343,444","348,951","352,032","355,758","359,308","363,508","366,808","371,103","374,085","376,788","379,592","383,074","387,442","393,378","399,647","406,625","412,442","415,416","418,187"
".Clatsop County, Oregon","35,560","35,509","35,519","35,612","35,912","36,282","36,603","36,818","36,825","36,972","37,088","37,228","37,415","37,113","37,449","37,797","38,678","39,101","39,711","40,224"
".Columbia County, Oregon","43,634","44,196","45,104","45,636","46,192","46,955","48,184","48,898","49,209","49,394","49,355","49,406","49,214","49,259","49,494","49,646","50,905","51,724","52,245","52,354"
".Coos County, Oregon","62,662","62,190","62,286","62,625","63,208","63,843","63,844","63,420","63,226","63,079","63,007","62,775","62,676","62,376","62,361","62,643","63,319","63,708","64,272","64,487"
".Crook County, Oregon","19,262","19,705","19,779","20,011","20,643","21,019","21,673","21,818","21,811","21,410","20,884","20,638","20,607","20,699","20,956","21,455","22,306","23,065","23,825","24,404"
".Curry County, Oregon","21,133","21,250","21,653","21,899","22,473","22,750","22,626","22,447","22,305","22,341","22,378","22,488","22,257","22,226","22,141","22,293","22,607","22,630","22,795","22,925"
".Deschutes County, Oregon","116,566","120,526","125,247","129,094","133,756","140,567","148,149","152,633","156,820","157,345","157,742","159,660","161,359","165,299","169,512","174,246","180,666","186,744","191,905","197,692"
".Douglas County, Oregon","100,485","100,562","101,529","102,776","103,965","105,285","106,658","107,057","107,316","107,378","107,631","107,229","106,922","106,603","106,693","107,164","108,116","109,197","110,114","110,980"
".Gilliam County, Oregon","1,908","1,901","1,877","1,823","1,860","1,863","1,834","1,816","1,886","1,856","1,882","1,951","1,952","1,943","1,930","1,868","1,857","1,862","1,893","1,912"
".Grant County, Oregon","7,906","7,498","7,438","7,472","7,415","7,389","7,373","7,267","7,303","7,343","7,464","7,410","7,325","7,270","7,190","7,207","7,166","7,188","7,185","7,199"
".Harney County, Oregon","7,661","7,491","7,417","7,360","7,312","7,211","7,286","7,327","7,375","7,432","7,400","7,358","7,247","7,161","7,127","7,150","7,243","7,258","7,292","7,393"
".Hood River County, Oregon","20,461","20,397","20,615","20,621","20,835","21,022","21,200","21,276","21,589","22,015","22,445","22,442","22,548","22,577","22,675","22,927","23,070","23,398","23,267","23,382"
".Jackson County, Oregon","181,775","183,835","186,704","189,838","192,185","194,701","196,858","199,152","201,162","202,301","203,341","204,747","205,852","207,179","209,189","211,403","214,366","216,746","219,411","220,944"
".Jefferson County, Oregon","19,113","19,653","19,941","20,212","20,339","20,622","21,113","21,861","21,885","21,730","21,661","21,752","21,834","21,871","22,203","22,541","23,036","23,652","24,150","24,658"
".Josephine County, Oregon","75,851","76,452","77,712","78,779","79,729","80,660","81,601","81,746","82,389","82,315","82,879","82,702","82,755","83,131","83,377","84,528","85,504","86,584","87,150","87,487"
".Klamath County, Oregon","63,885","64,139","64,150","64,582","64,841","65,553","66,294","66,767","66,732","66,460","66,322","66,308","65,909","65,682","65,280","65,670","66,198","66,810","67,687","68,238"
".Lake County, Oregon","7,428","7,538","7,522","7,578","7,576","7,558","7,796","7,880","7,961","7,901","7,875","7,905","7,786","7,795","7,821","7,779","7,830","7,874","7,835","7,869"
".Lane County, Oregon","323,492","324,855","327,506","330,845","332,327","335,831","339,926","344,844","348,176","350,850","351,920","354,034","355,075","355,481","358,027","361,946","368,874","375,264","378,549","382,067"
".Lincoln County, Oregon","44,317","43,854","44,270","44,421","44,877","45,347","45,529","45,798","45,915","45,989","45,999","45,871","46,164","46,322","46,343","46,999","47,793","48,757","49,224","49,962"
".Linn County, Oregon","103,020","103,544","104,561","106,035","106,799","108,132","110,764","112,932","114,967","116,001","116,891","118,164","118,273","118,405","119,042","120,236","122,769","125,035","127,451","129,749"
".Malheur County, Oregon","31,540","31,532","31,455","31,335","31,250","31,273","31,303","31,434","31,311","31,265","31,349","30,964","30,751","30,634","30,344","30,211","30,340","30,385","30,553","30,571"
".Marion County, Oregon","285,411","288,136","292,533","295,317","297,139","299,461","303,290","306,964","309,729","313,389","315,941","318,047","319,867","321,471","324,433","329,060","335,382","340,531","345,412","347,818"
".Morrow County, Oregon","10,995","11,043","11,313","11,317","11,275","11,162","11,203","11,048","11,002","11,102","11,209","11,226","11,224","11,196","11,095","11,130","11,222","11,198","11,360","11,603"
".Multnomah County, Oregon","661,654","669,690","676,653","679,348","672,526","674,862","683,767","697,799","712,989","727,721","737,276","749,742","760,198","766,532","778,430","790,008","803,212","807,885","809,072","812,855"
".Polk County, Oregon","62,596","63,445","64,135","65,060","66,569","68,585","71,027","72,791","74,346","74,934","75,538","75,931","76,209","76,544","77,659","78,962","81,436","83,711","84,992","86,085"
".Sherman County, Oregon","1,921","1,848","1,763","1,758","1,682","1,678","1,682","1,713","1,691","1,733","1,779","1,750","1,745","1,725","1,712","1,689","1,708","1,735","1,700","1,780"
".Tillamook County, Oregon","24,253","24,359","24,396","24,565","24,780","24,974","25,160","25,243","25,151","25,179","25,254","25,408","25,287","25,343","25,321","25,561","26,116","26,522","26,710","27,036"
".Umatilla County, Oregon","70,728","70,682","72,150","72,820","73,463","73,765","73,984","74,269","74,488","75,199","76,094","76,804","77,005","76,875","76,685","76,467","76,686","77,120","77,421","77,950"
".Union County, Oregon","24,537","24,353","24,472","24,607","24,513","24,675","24,754","25,263","25,473","25,580","25,731","25,909","25,802","25,526","25,637","25,703","26,061","26,383","26,701","26,835"
".Wallowa County, Oregon","7,220","7,112","7,042","7,008","6,899","6,877","6,835","6,884","6,900","6,948","7,012","6,979","6,801","6,771","6,779","6,813","6,915","7,025","7,058","7,208"
".Wasco County, Oregon","23,837","23,808","23,699","23,885","23,817","23,929","24,159","24,451","24,617","24,981","25,284","25,216","25,370","25,323","25,268","25,457","25,782","26,296","26,432","26,682"
".Washington County, Oregon","447,980","460,622","468,549","474,336","480,207","490,773","502,226","508,842","515,815","524,699","531,638","540,967","548,524","555,264","562,316","572,664","584,910","591,336","596,904","601,592"
".Wheeler County, Oregon","1,546","1,503","1,534","1,516","1,473","1,414","1,425","1,419","1,399","1,411","1,447","1,416","1,409","1,378","1,350","1,326","1,319","1,348","1,351","1,332"
".Yamhill County, Oregon","85,198","86,156","87,370","88,619","89,447","90,847","93,198","95,875","97,537","98,647","99,304","99,690","99,894","99,869","100,797","101,381","104,070","105,238","106,367","107,100"
