DATE,ORMULT1POP
1970-01-01,554.668
1971-01-01,555.200
1972-01-01,559.600
1973-01-01,554.300
1974-01-01,553.800
1975-01-01,547.400
1976-01-01,547.400
1977-01-01,553.000
1978-01-01,552.200
1979-01-01,556.800
1980-01-01,562.647
1981-01-01,566.197
1982-01-01,565.189
1983-01-01,562.371
1984-01-01,563.391
1985-01-01,564.249
1986-01-01,566.459
1987-01-01,563.560
1988-01-01,573.023
1989-01-01,576.816
1990-01-01,586.617
1991-01-01,598.286
1992-01-01,606.968
1993-01-01,616.719
1994-01-01,622.642
1995-01-01,629.617
1996-01-01,639.587
1997-01-01,647.083
1998-01-01,652.416
1999-01-01,657.740
2000-01-01,661.872
2001-01-01,669.862
2002-01-01,676.820
2003-01-01,679.391
2004-01-01,672.285
2005-01-01,674.357
2006-01-01,683.107
2007-01-01,697.501
2008-01-01,712.983
2009-01-01,727.990
2010-01-01,737.276
2011-01-01,749.742
2012-01-01,760.198
2013-01-01,766.532
2014-01-01,778.43
2015-01-01,790.008
2016-01-01,803.212
2017-01-01,807.885
2018-01-01,809.072
2019-01-01,812.855
